SaleID,price
200000,1337.53
200001,1982.16
200002,8924.68
200003,1108.47
200004,156.69
200005,1345.03
200006,496.06
200007,3436.16
200008,12531.04
200009,673.64
200010,690.0
200011,2547.62
200012,5624.89
200013,7441.93
200014,2.98
200015,5.62
200016,1798.1
200017,8446.83
200018,6614.21
200019,841.31
200020,23921.81
200021,7372.86
200022,1968.62
200023,-58.32
200024,741.79
200025,8535.22
200026,385.24
200027,12349.15
200028,4410.15
200029,7899.72
200030,16884.44
200031,12843.74
200032,533.62
200033,14043.08
200034,954.16
200035,1925.93
200036,13943.03
200037,6657.37
200038,1539.34
200039,297.63
200040,156.09
200041,28415.17
200042,571.08
200043,6858.69
200044,19341.82
200045,527.48
200046,16166.44
200047,16974.92
200048,2011.27
200049,94.01
200050,855.64
200051,4581.91
200052,2932.07
200053,63.74
200054,13690.02
200055,11138.63
200056,5542.53
200057,3207.53
200058,1284.67
200059,5045.55
200060,8435.74
200061,982.86
200062,5463.48
200063,8097.79
200064,1280.85
200065,1533.94
200066,329.11
200067,10463.14
200068,141.62
200069,18623.71
200070,9353.97
200071,17.42
200072,6600.09
200073,17455.77
200074,4315.87
200075,14222.46
200076,3324.32
200077,1.86
200078,261.79
200079,118.78
200080,3100.55
200081,2143.7
200082,4128.68
200083,458.8
200084,1237.49
200085,2040.61
200086,6712.7
200087,3526.03
200088,2630.42
200089,41421.47
200090,2329.51
200091,-86.13
200092,1435.47
200093,16641.63
200094,6473.16
200095,136.01
200096,2280.69
200097,1127.09
200098,372.55
200099,22862.15
200100,21190.78
200101,7288.43
200102,1845.07
200103,10988.1
200104,5603.37
200105,4867.24
200106,8479.1
200107,162.89
200108,14788.1
200109,8148.48
200110,577.09
200111,1839.17
200112,2022.41
200113,1050.28
200114,2240.42
200115,1324.64
200116,14630.04
200117,15787.02
200118,57019.27
200119,139.95
200120,2763.27
200121,2522.48
200122,701.56
200123,2373.78
200124,57299.97
200125,616.77
200126,2743.81
200127,15607.32
200128,1741.58
200129,5883.81
200130,3780.21
200131,2867.44
200132,1560.28
200133,3029.25
200134,1180.18
200135,3.39
200136,3707.29
200137,21.29
200138,9947.42
200139,6684.08
200140,34.25
200141,1410.3
200142,6193.97
200143,8236.14
200144,1094.22
200145,5953.34
200146,22.45
200147,4931.74
200148,2979.27
200149,12.09
200150,-16.05
200151,4999.85
200152,487.4
200153,539.94
200154,8011.61
200155,2342.96
200156,16026.99
200157,8036.93
200158,10677.43
200159,-440.02
200160,7180.48
200161,7459.12
200162,6704.83
200163,66.5
200164,16760.5
200165,14932.71
200166,24210.16
200167,3614.65
200168,36906.8
200169,846.24
200170,2570.78
200171,8328.25
200172,1888.44
200173,36715.36
200174,-129.14
200175,17.1
200176,8044.97
200177,5878.78
200178,5143.42
200179,4424.95
200180,952.46
200181,20944.47
200182,4045.94
200183,1703.27
200184,-70.13
200185,4418.8
200186,3505.27
200187,6334.68
200188,11737.19
200189,11589.35
200190,3519.09
200191,3006.39
200192,1051.05
200193,4658.52
200194,7697.38
200195,2385.45
200196,-116.48
200197,21088.67
200198,1337.93
200199,4740.87
200200,35.17
200201,8269.54
200202,2164.16
200203,1742.64
200204,7989.64
200205,5346.33
200206,929.42
200207,4556.76
200208,5702.4
200209,1592.7
200210,14344.61
200211,5424.65
200212,7928.99
200213,9489.37
200214,18690.25
200215,6941.32
200216,3442.38
200217,1019.02
